Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Vote_Group,Release_Year
06-07-2016,The Day Naruto Became Hokage,63.748,174,7.6,"['Comedy', 'Animation', 'Action', 'Adventure']",High,2016
09-07-1999,American Pie,63.685,6348,6.5,"['Comedy', 'Romance']",Medium,1999
09-12-1997,Scream 2,63.675,2860,6.4,"['Horror', 'Mystery']",Medium,1997
22-06-2016,Independence Day: Resurgence,63.643,5174,5.2,"['Action', 'Adventure', 'ScienceFiction']",Medium,2016
17-09-2015,Sicario,63.639,6788,7.4,"['Action', 'Crime', 'Thriller']",High,2015
17-07-2014,The Purge: Anarchy,63.602,5479,6.7,"['Horror', 'Thriller']",Medium,2014
01-02-2012,Chronicle,63.591,4280,6.8,"['ScienceFiction', 'Drama', 'Thriller']",Medium,2012
13-09-2010,Insidious,63.506,5385,6.9,"['Horror', 'Thriller']",Medium,2010
05-10-1956,The Ten Commandments,63.46,1096,7.7,"['Drama', 'History']",High,1956
11-11-2010,Skyline,63.45,1281,4.9,"['ScienceFiction', 'Action']",Low,2010
27-06-2013,The Heat,63.35,3348,6.6,"['Action', 'Comedy', 'Crime']",Medium,2013
02-10-2020,Cats & Dogs 3: Paws Unite,63.3,157,6.6,"['Comedy', 'Action']",Medium,2020
16-10-1998,Bride of Chucky,63.29,1382,5.9,"['Horror', 'Comedy']",Medium,1998
27-05-2014,Edge of Tomorrow,63.276,11429,7.6,"['Action', 'ScienceFiction']",High,2014
14-12-2022,Avatar 2,63.25,0,0,"['Action', 'Adventure', 'ScienceFiction', 'Fantasy']",,2022
07-08-2014,The Expendables 3,63.233,4060,6.2,"['Action', 'Adventure', 'Thriller']",Medium,2014
28-08-2014,Predestination,63.156,5185,7.4,"['ScienceFiction', 'Thriller']",High,2014
02-06-2016,Now You See Me 2,63.107,9277,6.8,"['Thriller', 'Action', 'Comedy']",Medium,2016
15-10-2010,Jackass 3D,63.046,1056,6.6,"['Comedy', 'Documentary', 'Action']",Medium,2010
08-06-2016,Don't Breathe,62.693,6010,7,"['Thriller', 'Horror']",Medium,2016
08-11-2019,The Platform,62.668,5282,7,"['Drama', 'ScienceFiction', 'Thriller']",Medium,2019
08-03-2011,Limitless,62.667,8851,7.2,"['Thriller', 'Mystery', 'ScienceFiction']",High,2011
06-07-1994,Forrest Gump,62.636,22308,8.5,"['Comedy', 'Drama', 'Romance']",High,1994
